data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7412581,508,MZM1771,1771,20200601,2020,1,Strategic developments,Other,Civilians (Mozambique),Refugees/IDPs (Mozambique),7,,,0,70,Eastern Africa,Mozambique,Cabo Delgado,Metuge,Cidade De Pemba,Pemba,-12.9733,40.5176,1,Cabo Ligado,Local partner-Other,"On 1 June 2020, about 250 displaced civilians from Macomia arrived in Pemba (Pemba, Cabo Delgado) after members of an Islamist militia occupied the city between 28 and 31 May 2020 (coded separately).",0,1607991364,MOZ
7239610,508,MZM1770,1770,20200531,2020,1,Battles,Government regains territory,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,1,Lusa; Cabo Ligado,Local partner-Other,"On 31 May 2020, FDS forces, with support of the DAG, reportedly took back control of Macomia (Macomia, Cabo Delgado). Government sources claimed that 78 members of an Islamist militia were killed, however this could not be corroborated and no bodies were located.",0,1601937200,MOZ
7227819,508,MZM1769,1769,20200530,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Litamanda,-11.8966,40.1097,1,Carta de Mocambique,National,"On 30 May 2020, members of an Islamist militia attacked Litamanda (Macomia, Cabo Delgado). Several properties and houses were destroyed. 11 people were killed during the 3-day attack, which started on 28 May 2020. 11 fatalities split between 3 events.",3,1600717737,MOZ
7239600,508,MZM1724,1724,20200530,2020,1,Explosions/Remote violence,Air/drone strike,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,1,Carta de Mocambique; Cabo Ligado,Local partner-Other,"On 30 May 2020, helicopter gunships of the Dyck Advisory Group and the FDS forces of Mozambique responded with airstrikes to the attacks of members of an Islamist militia in Macomia (Macomia, Cabo Delgado) from 28 May to 30 May. According to reports, between 19 to 22 bodies were counted, including 5 members of the Rapid Intervention Unit and children who died of hunger or thirst. 19 fatalities split between 3 events.",6,1601937199,MOZ
7239711,508,MZM1567,1567,20200529,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Nova Zambezia,-12.0763,40.1087,1,Cabo Ligado,Local partner-Other,"On 29 May 2020, Islamist militants attacked Nova Zambezia (Macomia, Cabo Delgado). The military arrived at the scene. No fatalities reported.",0,1601937200,MOZ
7239563,508,MZM1566,1566,20200529,2020,1,Battles,Armed clash,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,1,MediaFax (Mozambique); Cabo Ligado,Local partner-Other,"On 29 May 2020, helicopter gunships of the Dyck Advisory Group and the FDS forces of Mozambique responded with airstrikes to the attacks of members of an Islamist militia in Macomia (Macomia, Cabo Delgado) from 28 May to 30 May. According to reports, between 19 to 22 bodies were counted, including 5 members of the Rapid Intervention Unit and children who died of hunger or thirst. 19 fatalities split between 3 events.",6,1601937199,MOZ
7239609,508,MZM1768,1768,20200529,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Litamanda,-11.8966,40.1097,1,Cabo Ligado; Carta de Mocambique,Local partner-Other,"On 29 May 2020, members of an Islamist militia attacked Litamanda (Macomia, Cabo Delgado). Several properties and houses were destroyed. 11 people were killed during the 3-day attack, which started on 28 May 2020. 11 fatalities split between 3 events.",4,1601937200,MOZ
7239559,508,MZM1562,1562,20200528,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Chai,Chai,-11.9319,40.1103,1,Cabo Ligado,Local partner-Other,"On 28 May 2020, members of an Islamist militia clashed with members of the FDS forces, supported by DAG forces, during an attack in Chai (Macomia, Cabo Delgado). Several properties and houses were destroyed. 6 bodies were found by residents as they returned to the village.",6,1601937199,MOZ
7239560,508,MZM1563,1563,20200528,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Litamanda,-11.8966,40.1097,1,Cabo Ligado; Carta de Mocambique,Local partner-Other,"On 28 May 2020, members of an Islamist militia clashed with members of the FDS forces, supported by DAG, during an attack on Litamanda (Macomia, Cabo Delgado). Several properties and houses were destroyed. 11 people were killed during the 3-day attack (28 May to 30 May). 11 fatalities split between 3 events.",4,1601937199,MOZ
7239561,508,MZM1564,1564,20200528,2020,1,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,1,Carta de Mocambique; Cabo Ligado,Local partner-Other,"On 28 May 2020, members of an Islamist militia clashed with members of the FDS forces, with support of the DAG, during an attack in Macomia (Macomia, Cabo Delgado). Before the arrival of the security forces, the group gained control of the city for a short amount of time, with banks and governmental properties looted and destroyed. Several bombardment raids conducted by the helicopter gunships were reported, killing several civilians. According to reports, between 19 to 22 bodies were counted, including 5 members of the Rapid Intervention Unit and children who died of hunger or thirst. 19 fatalities split between 3 events.",7,1601937199,MOZ
7239562,508,MZM1565,1565,20200528,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Macomia,-12.2467,40.1208,2,Lusa; Carta de Mocambique; Cabo Ligado,Local partner-Other,"On 28 May 2020, Islamist militants attacked Macomia Sede near Macomia (Macomia, Cabo Delgado) and destroyed various properties and houses. The military arrived at the scene. No fatalities reported.",0,1601937199,MOZ
7108086,508,MZM1561,1561,20200525,2020,1,Riots,Mob violence,Rioters (Mozambique),Muslim Group (Mozambique),5,Police Forces of Mozambique (1990-),,1,15,Eastern Africa,Mozambique,Niassa,Lichinga,Cidade De Lichinga,Lichinga,-13.3128,35.2406,1,Lusa,National,"On 25 May 2020, about 200 people tried to vandalize a police post in Lichinga (Niassa) after authorities banned the celebration of the end of Ramadan at a local mosque due to restrictions of the state of emergency due to the coronavirus. Police opened fire and 2 people were killed. [size=about 200]",2,1591052479,MOZ
7239712,508,MZM1559,1559,20200524,2020,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa Da Praia,Mocimboa Da Praia,Koko,-12.3637,40.1628,1,Cabo Ligado,Local partner-Other,"On 24 May 2020, members of an Islamist militia raided food from Koko village (Mocimboa da Praia, Cabo Delgado).",0,1601937200,MOZ
7107741,508,MZM1560,1560,20200524,2020,1,Violence against civilians,Attack,Military Forces of Mozambique (1990-),,1,Civilians (Mozambique),,7,17,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa Da Praia,Mocimboa Da Praia,Nanduadua,-11.3517,40.3386,1,Carta de Mocambique,National,"On 24 May 2020, a civilian was killed by soldiers in Nanduadua (Mocimboa Da Praia, Cabo Delgado). Reason for the killing is unknown.",1,1591052477,MOZ
7177088,508,MZM1558,1558,20200522,2020,1,Violence against civilians,Abduction/forced disappearance,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Women (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa Da Praia,Mocimboa Da Praia,Mocimboa Da Praia,-11.346,40.3522,1,Carta de Mocambique,National,"On 22 May 2020, suspected Islamist militants abducted 4 girls from Milamba neighbourhood, in the municipal town of Mocimboa da Praia (Cabo Delgado).",0,1596817624,MOZ
7239558,508,MZM1557,1557,20200521,2020,2,Battles,Armed clash,Islamist Militia (Mozambique),,3,Military Forces of Mozambique (1990-),Dyck Advisory Group,1,13,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Messumero,-12.4619,40.4533,2,BBC News; Cabo Ligado,Local partner-Other,"Around 21 May 2020 (as reported), FDS forces, supported by DAG forces, clashed with an Islamist militia near Messumero (Quissanga, Cabo Delgado). According to governmental reports, the base was taken over, something which other sources failed to confirm. No injuries and/or fatalities reported.",0,1601937199,MOZ
7239713,508,MZM1728,1728,20200520,2020,1,Battles,Government regains territory,Military Forces of Mozambique (1990-),,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Bilibiza,Cagembe,-12.3822,40.2624,1,Cabo Ligado,Local partner-Other,"On 20 May 2020, members of the FDS forces regained control of a base controlled by members of an Islamist militia in Catembe (Quissanga, Cabo Delgado). No fatalities and/or injuries reported.",0,1601937200,MOZ
7239714,508,MZM1555,1555,20200520,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Messumero,-12.4619,40.4533,1,Cabo Ligado,Local partner-Other,"On 20 May 2020, Islamist militants attacked Messumero village (Mahate, Cabo Delgado). No fatalities were reported.",0,1601937200,MOZ
7239715,508,MZM1767,1767,20200520,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Mozambique (1990-),,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Muidumbe,Chitunda,Xitaxi,-11.8081,40.0064,2,Cabo Ligado,Local partner-Other,"Around 20 May 2020 (as reported), helicopters fired ground targets near Litamanda and Xitaxi (Muidumbe, Cabo Delgado). The bodies of two assumed militants were discovered, split between 2 events.",1,1601937200,MOZ
7239716,508,MZM1556,1556,20200520,2020,1,Strategic developments,Looting/property destruction,Islamist Militia (Mozambique),,3,Civilians (Mozambique),Labour Group (Mozambique),7,37,Eastern Africa,Mozambique,Cabo Delgado,Quissanga,Quissanga,Namimuro,-12.5046,40.4348,1,Cabo Ligado,Local partner-Other,"On 20 May 2020, Islamist militants burned homes and a gas station in Namirumo (Quissanga, Cabo Delgado). No fatalities were reported.",0,1601937200,MOZ
7239717,508,MZM1766,1766,20200520,2020,2,Explosions/Remote violence,Air/drone strike,Military Forces of Mozambique (1990-),,1,Islamist Militia (Mozambique),,3,13,Eastern Africa,Mozambique,Cabo Delgado,Macomia,Macomia,Litamanda,-11.8966,40.1097,2,Cabo Ligado,Local partner-Other,"Around 20 May 2020 (as reported), helicopters fired at ground targets near Litamanda (Macomia, Cabo Delgado) and Xitaxi. The bodies of two assumed militants were discovered, split between 2 events.",1,1601937200,MOZ
7108123,508,MZM1553,1553,20200517,2020,1,Strategic developments,Other,Civilians (Mozambique),Refugees/IDPs (Mozambique),7,,,0,70,Eastern Africa,Mozambique,Cabo Delgado,Mocimboa Da Praia,Mocimboa Da Praia,Mocimboa Da Praia,-11.346,40.3522,2,Moz24H,National,"On 17 May 2020, residents of 30 de Junho and Nanduadua neighbourhoods near Mocimboa Da Praia (Mocimboa Da Praia, Cabo Delgado) fled their homes aftern a group of unknown men were seen in the area.",0,1591052479,MOZ
7412586,508,MZM1552,1552,20200517,2020,1,Violence against civilians,Attack,Islamist Militia (Mozambique),,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Cabo Delgado,Muidumbe,Muidumbe,Miangalewa,-11.8511,40.0761,1,Cabo Ligado,Local partner-Other,"On 17 May 2020, Islamist militants attacked Milangalewa village (Muidumbe, Cabo Delgado), beheaded 10 men and forced a number of men to join the group.",10,1607991365,MOZ
7107762,508,MZM1554,1554,20200517,2020,1,Violence against civilians,Attack,RMJ: Renamo Military Junta,,3,Civilians (Mozambique),,7,37,Eastern Africa,Mozambique,Sofala,Nhamatanda,Nhamatanda,Nhamatanda,-19.2692,34.2128,2,Club Mozambique,National,"On 17 May 2020, one person was killed and 3 were seriously injured in an ambush against 3 buses in the Nhamatanda district (Nhamatanda, Sofala). The attack was suspected to have been committed by the Renamo Military Junta.",1,1591052477,MOZ
