data_id,event_date,inter1,inter2
6040459,20180306,3,7
6040460,20180306,8,7
6040461,20180306,8,7
6040462,20180306,8,7
6040463,20180306,1,2
6040464,20180306,1,7
5689488,20180306,3,7
6040465,20180306,1,7
6040466,20180306,8,2
6040467,20180306,8,2
6040468,20180306,2,2
6130580,20180306,1,0
6040469,20180306,1,0
6055852,20180306,8,7
6079661,20180306,2,0
6078642,20180306,1,2
6077363,20180306,2,2
6123959,20180306,2,7
5866169,20180306,2,2
7020730,20180306,8,2
5908422,20180306,1,7
5908423,20180306,1,0
5908426,20180306,1,7
5864651,20180306,2,2
7283916,20180306,1,7
6080462,20180306,1,2
5864657,20180306,2,2
6124758,20180306,1,7
6076119,20180306,2,2
5842402,20180306,2,1
5851366,20180306,8,2
5861864,20180306,2,0
5861871,20180306,3,0
5861872,20180306,1,0
6124528,20180306,2,7
5861873,20180306,1,0
6056946,20180306,8,2
5861878,20180306,6,0
5861879,20180306,8,2
5867515,20180306,1,0
6056700,20180306,8,7
6124284,20180306,3,7
6076928,20180305,8,2
6078720,20180305,8,2
5869077,20180305,8,7
6122774,20180305,2,2
6054689,20180305,8,7
6130210,20180305,1,7
5842217,20180305,1,0
5867307,20180305,3,7
6079533,20180305,3,0
5869105,20180305,2,2
6122808,20180305,8,7
6045769,20180305,8,7
5869136,20180305,3,7
5859414,20180305,1,0
5869147,20180305,1,0
6040416,20180305,1,0
6040417,20180305,1,0
6040418,20180305,1,7
6040419,20180305,1,0
6040420,20180305,8,7
6040421,20180305,1,2
6040422,20180305,1,2
6040423,20180305,1,7
6040424,20180305,1,7
6040425,20180305,1,7
6123625,20180305,1,7
6040426,20180305,1,7
6040427,20180305,1,7
6040428,20180305,1,2
6040430,20180305,8,2
6040431,20180305,1,7
6040432,20180305,1,7
6079088,20180305,2,2
6040433,20180305,2,2
6040434,20180305,1,2
6040436,20180305,1,2
6040437,20180305,1,7
6040438,20180305,1,0
6040439,20180305,8,7
6040440,20180305,8,2
6040441,20180305,1,7
6040442,20180305,8,7
6040443,20180305,2,2
6040444,20180305,1,7
6122110,20180305,2,7
6080897,20180305,2,2
5855877,20180305,2,2
5868678,20180305,3,7
5866375,20180305,8,2
6130059,20180305,3,0
6122125,20180305,2,7
6122653,20180305,1,7
6122658,20180305,1,7
5844132,20180305,1,0
5864868,20180305,2,2
6075304,20180305,8,0
5864873,20180305,3,7
5868461,20180305,8,2
6079919,20180305,2,2
5864882,20180305,1,0
5864884,20180305,1,0
5908414,20180305,1,0
7020735,20180305,8,2
5908417,20180305,1,2
6122694,20180305,1,7
5689542,20180305,1,0
6077646,20180305,2,2
5689555,20180305,1,2
6123989,20180305,2,7
6079190,20180305,2,2
6123225,20180305,3,7
5856732,20180305,8,2
5856737,20180305,1,0
5856738,20180305,1,0
5856739,20180305,1,0
7285988,20180305,3,0
6122983,20180305,1,2
6122218,20180305,2,7
6130175,20180305,1,0
6129666,20180304,3,0
5689610,20180304,1,2
5861391,20180304,1,2
6076186,20180304,8,0
6077980,20180304,2,2
6123806,20180304,2,7
6130465,20180304,1,0
6077987,20180304,2,2
5853479,20180304,1,2
6130471,20180304,1,0
5853487,20180304,1,0
5849394,20180304,1,2
5849142,20180304,3,0
6040387,20180304,1,7
6040388,20180304,1,2
6122820,20180304,1,7
6040389,20180304,1,7
6040390,20180304,1,7
6040391,20180304,1,7
6040392,20180304,1,2
5850184,20180304,1,0
6040393,20180304,1,7
5856073,20180304,1,0
6040394,20180304,1,0
6040395,20180304,1,7
6040396,20180304,1,7
6040397,20180304,1,7
6040398,20180304,1,7
6040399,20180304,1,0
6040400,20180304,1,2
6040401,20180304,1,7
6040402,20180304,1,7
6040403,20180304,1,7
6040404,20180304,8,7
6040405,20180304,1,2
6040406,20180304,1,0
6040407,20180304,1,7
6040409,20180304,1,7
6040410,20180304,1,0
6040411,20180304,1,7
6040412,20180304,1,7
6040413,20180304,2,2
6040414,20180304,2,2
6040415,20180304,1,7
6077029,20180304,2,2
6076268,20180304,8,0
6043773,20180304,2,0
5852048,20180304,1,0
5852049,20180304,3,7
5849496,20180304,1,0
6130586,20180304,1,0
6080159,20180304,2,2
6080160,20180304,6,0
5858721,20180304,1,0
5856932,20180304,2,2
5862314,20180304,2,2
6123437,20180304,1,7
5856948,20180304,1,2
6130625,20180304,1,0
7020738,20180304,8,0
5852619,20180304,3,2
5849039,20180304,1,0
6130662,20180304,1,0
5849319,20180304,3,0
5842408,20180304,1,7
6076906,20180304,8,2
6076909,20180304,2,2
6080767,20180304,2,2
6081282,20180303,2,2
6077964,20180303,2,2
5863440,20180303,1,0
6078228,20180303,2,2
5863450,20180303,2,2
5863451,20180303,2,2
5839647,20180303,1,0
6054431,20180303,8,7
5908000,20180303,1,0
6131232,20180303,3,7
5908002,20180303,1,0
6122792,20180303,1,2
5689643,20180303,1,0
5839670,20180303,1,7
5851965,20180303,1,7
6130750,20180303,1,0
5851969,20180303,3,7
6122562,20180303,1,2
6074954,20180303,2,2
6075212,20180303,2,2
5839696,20180303,1,7
5858900,20180303,3,3
6079316,20180303,2,2
5865303,20180303,2,2
6074967,20180303,2,2
6080348,20180303,2,2
5865310,20180303,1,2
5854564,20180303,1,7
5854567,20180303,1,0
5857128,20180303,2,2
5854569,20180303,1,0
5848686,20180303,1,0
5857142,20180303,8,7
5857144,20180303,1,0
5862521,20180303,3,0
6053766,20180303,8,0
5862534,20180303,2,2
5839757,20180303,1,7
6124174,20180303,1,7
6076048,20180303,1,7
6122899,20180303,8,7
6122661,20180303,1,7
5864357,20180303,3,0
6043046,20180303,8,7
6077867,20180303,8,2
6131130,20180303,1,0
6123707,20180303,2,7
6039486,20180303,1,2
6122686,20180303,3,7
6039487,20180303,1,0
6039488,20180303,8,7
6079680,20180303,8,2
6039489,20180303,1,0
6039490,20180303,2,2
7020739,20180303,8,2
6039491,20180303,2,2
7020740,20180303,8,2
6039492,20180303,8,7
6039493,20180303,1,0
5855429,20180303,2,2
6039494,20180303,1,7
5861574,20180303,2,2
6039495,20180303,1,0
6039496,20180303,1,7
6054344,20180303,8,7
6039497,20180303,1,7
6039498,20180303,1,7
6039499,20180303,1,2
6039500,20180303,1,7
6039501,20180303,8,3
6039502,20180303,2,2
6039503,20180303,1,0
6039504,20180303,3,0
6039505,20180303,1,7
6039506,20180303,2,7
6039507,20180303,8,7
6039508,20180303,1,7
5861588,20180303,1,0
6039509,20180303,1,0
6039510,20180303,1,2
6122710,20180303,1,7
6039511,20180303,1,2
6039512,20180303,2,8
5866200,20180303,2,1
6039513,20180303,1,2
5859801,20180303,2,2
6039514,20180303,8,0
6039515,20180303,1,0
6039516,20180303,8,0
5859804,20180303,2,2
6039517,20180303,1,0
6077150,20180303,8,0
5861599,20180303,8,0
5866207,20180303,2,2
6077152,20180303,8,0
5859820,20180303,3,0
6076397,20180303,2,2
5839855,20180303,1,2
6122479,20180303,2,7
6130671,20180303,1,0
5859825,20180303,2,2
5858042,20180303,2,2
5856253,20180303,2,2
5844734,20180303,2,1
6123779,20180302,2,7
5865478,20180302,1,0
5865479,20180302,8,0
5869064,20180302,2,2
5844746,20180302,1,2
6124051,20180302,3,7
6124052,20180302,1,2
6124054,20180302,3,7
5907995,20180302,1,2
6058279,20180302,8,7
6076967,20180302,3,1
5862697,20180302,1,0
6078765,20180302,2,2
6082610,20180302,8,0
5867321,20180302,1,0
6123326,20180302,1,7
5862718,20180302,2,8
5862721,20180302,6,0
6045767,20180302,8,7
5867849,20180302,1,0
5867850,20180302,8,7
6129745,20180302,1,0
6058075,20180302,8,7
5868891,20180302,1,0
6130014,20180302,1,0
6080612,20180302,2,2
5864549,20180302,1,0
5844074,20180302,1,7
6130285,20180302,1,0
5689721,20180302,1,0
6123898,20180302,8,7
6043771,20180302,1,7
6043772,20180302,1,7
7263104,20180302,1,2
5864580,20180302,6,0
5868677,20180302,1,0
6123144,20180302,8,7
5689736,20180302,1,7
5866378,20180302,1,0
5868427,20180302,3,2
6056595,20180302,8,2
5844629,20180302,1,7
6124181,20180302,2,7
6130327,20180302,1,0
6079129,20180302,8,0
6039452,20180302,8,3
6039453,20180302,1,2
6039454,20180302,1,0
6056606,20180302,8,7
6123934,20180302,1,7
6039455,20180302,2,2
6039456,20180302,1,7
6129824,20180302,1,0
6039457,20180302,1,2
6039458,20180302,1,7
6039459,20180302,1,0
6039460,20180302,1,7
6039461,20180302,1,2
6039462,20180302,1,7
5866406,20180302,6,0
6129830,20180302,1,0
6039463,20180302,1,7
6081191,20180302,8,0
6039464,20180302,1,0
6077352,20180302,2,2
6039465,20180302,1,7
6039466,20180302,1,7
6039467,20180302,1,7
5860011,20180302,1,0
6039468,20180302,8,7
6039469,20180302,1,2
6039470,20180302,1,0
6039471,20180302,1,7
6039472,20180302,8,7
5861808,20180302,6,0
6039473,20180302,2,1
6039474,20180302,1,7
6039475,20180302,1,7
6039476,20180302,1,2
5843380,20180302,8,0
6039477,20180302,1,7
6039478,20180302,1,7
6039479,20180302,1,7
6039480,20180302,1,7
6039481,20180302,1,2
5860025,20180302,6,0
6039482,20180302,1,7
6039483,20180302,1,0
6039484,20180302,1,7
6039485,20180302,1,0
6129857,20180302,1,0
7020741,20180302,8,2
6129861,20180302,1,7
5867213,20180302,2,0
6132182,20180302,3,7
6124258,20180302,2,7
6123495,20180302,1,7
6129642,20180302,1,7
5844211,20180302,1,0
6129652,20180302,1,0
5868277,20180302,2,2
