data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction
5268609,231,ETH3314,3314,20160807,2016,2,Battles,Armed clash,Amhara Ethnic Militia (Ethiopia),,4,Military Forces of Ethiopia (1995-2018),,1,14
7212957,231,ETH3307,3307,20160807,2016,1,Battles,Armed clash,Oromo Ethnic Militia (Ethiopia),Farmers (Ethiopia),4,Military Forces of Ethiopia (1995-2018),,1,14
6410690,231,ETH3310,3310,20160807,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
4799465,231,ETH3315,3315,20160807,2016,1,Battles,Armed clash,OLF: Oromo Liberation Front,,2,Military Forces of Ethiopia (1995-2018),,1,12
6227963,231,ETH3305,3305,20160807,2016,1,Riots,Violent demonstration,Rioters (Ethiopia),Amhara Ethnic Group (Ethiopia); Semayawi Party,5,Police Forces of Ethiopia (1995-2018),,1,15
6410753,231,ETH3269,3269,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6410757,231,ETH3296,3296,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6410768,231,ETH3226,3226,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6410770,231,ETH3232,3232,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411544,231,ETH3302,3302,20160806,2016,1,Riots,Violent demonstration,Rioters (Ethiopia),Amhara Ethnic Group (Ethiopia),5,Military Forces of Ethiopia (1995-2018),ANDM: Amhara National Democratic Movement; Government of Ethiopia (1995-2018),1,15
6410782,231,ETH3276,3276,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6410783,231,ETH3283,3283,20160806,2016,1,Protests,Excessive force against protesters,Military Forces of Ethiopia (1995-2018),,1,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,16
6410787,231,ETH3204,3204,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
6411059,231,ETH3205,3205,20160806,2016,1,Protests,Peaceful protest,Protesters (Ethiopia),Oromo Ethnic Group (Ethiopia),6,,,0,60
