data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7451036,368,IRQ28517,28517,18-Dec-20,2020,1,Violence against civilians,Attack,Islamic State (Iraq),,2,Civilians (Iraq),,7,27,Middle East,Iraq,Kirkuk,Kirkuk,,Kirkuk,35.4681,44.3922,3,Shafaaq News,National,"On 18 December 2020, IS militants killed a civilian in Kirkuk governorate. No further details were disclosed.",1,1610397236,IRQ
7450800,368,IRQ28711,28711,18-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),,6,,,0,60,Middle East,Iraq,Kerbala,Kerbala,,Kerbala,32.5979,44.0165,1,BBC News,International,"On 18 December 2020, hundreds of protesters demonstrated in the city of Kerbala at the Al Tarbiya square, against the assassination of an activist earlier this week. [size=hundreds]",0,1610397233,IRQ
7450874,368,IRQ28812,28812,18-Dec-20,2020,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Turkey (2016-),,8,,,0,80,Middle East,Iraq,Dahuk,Zakho,,Beguva,37.2375,43.1628,2,Kurdistan24,National,"On 18 December 2020, Turkish army forces carried out artillery strikes hitting near Bikova (Beguva) town in Zakho district of Dahuk, Northern Iraq. No information on casualties was reported.",0,1610397234,IRQ
7450620,368,IRQ28513,28513,18-Dec-20,2020,1,Strategic developments,Arrests,Police Forces of Iraq (2020-),,1,Islamic State (Iraq),,2,12,Middle East,Iraq,Anbar,Falluja,,Karma,33.4266,43.9347,2,Al Maloomah,National,"Arrests: On 18 December 2020, Iraqi security forces carried out a raid and search campaign targeting the Jazirah area of Karma district, east of Fallujah, through which they managed to arrest a prominent IS operatives without any significant resistance.",0,1610397232,IRQ
7450657,368,IRQ28674,28674,17-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq); Teachers (Iraq),6,,,0,60,Middle East,Iraq,Missan,Amara,,Amara,31.8356,47.1448,1,Al Mirbad,National,"On 17 December 2020, Maysan University organized a protest in Amara city (Missan) to condemn the recurring incidents that targeted university professors, the most recent of which was the killing of the assistant dean of Al-Manara College of Medical Sciences. [size=no report]",0,1610397232,IRQ
7450958,368,IRQ28527,28527,17-Dec-20,2020,1,Violence against civilians,Attack,Unidentified Armed Group (Iraq),,3,Civilians (Iraq),Police Forces of Iraq (2020-),7,37,Middle East,Iraq,Babylon,Hilla,,Hilla,32.4637,44.4196,1,National Iraqi News Agency,National,"On 17 December 2020, a police patrol found the body of a stabbed policeman near the Doctors Bridge in central Hilla city. Reason of the attack is unknown.",1,1610397235,IRQ
7450206,368,IRQ28540,28540,17-Dec-20,2020,1,Strategic developments,Change to group/activity,Police Forces of Iraq (2020-),,1,,,0,10,Middle East,Iraq,Baghdad,Karadah,,Baghdad - Karadah,33.3248,44.4213,1,All Iraq News Agency; Liveuamap; Shafaaq News; Al Sumaria TV,Local partner-New media,"Movement of forces: On 17 December 2020, Iraqi forces were deployed in the vicinity of New Baghdad (Baghdad Al-Jadidi) and the Karrada (Baghdad - Karadah), Abu Nawas and Dora areas near night clubs and stores which sell alcohol to bolster defenses against possible attacks.",0,1610397228,IRQ
7450215,368,IRQ28615,28615,17-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),6,,,0,60,Middle East,Iraq,Basrah,Al-Zubair,,Al Burjisiyah,30.367,47.6092,1,BBC News; Al Ahad TV; Al Mirbad,National-International,"On 17 December 2020, dozens of government contract employees in Al Burjisiyah, Al Zubair district, Basrah organized a protest against the government's decision of upholding their salaries. This is part of the 30,000 contracts movement. [size= dozens]",0,1610397228,IRQ
7450216,368,IRQ28616,28616,17-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),6,,,0,60,Middle East,Iraq,Basrah,Al-Zubair,,Al-Zubair,30.3921,47.7017,2,BBC News; Al Mirbad; Al Ahad TV,National-International,"On 17 December 2020, a number of government contract employees in Al-Zubair district, Basrah organized a protest to protest against the government's decision of upholding their salaries. This is part of the 30,000 contracts movement. [size= no report]",0,1610397228,IRQ
7450217,368,IRQ28617,28617,17-Dec-20,2020,1,Protests,Peaceful protest,Protesters (Iraq),Labour Group (Iraq),6,,,0,60,Middle East,Iraq,Baghdad,Baghdad,,Baghdad,33.3248,44.4213,1,Watan (Iraq); Al Mirbad,National,"On 17 December 2020, a number of degree holders organized a demonstration in Baghdad city to demand job appointments. [size=no report]",0,1610397228,IRQ
